,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value
movie_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
user_id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4.003172984043642,3.9207277311818354,4.15564877782312,3.527591444436328,3.920226150616888,4.142654693883713,2.655946338367955,4.066125970046753,4.010395855329188,3.8051462722164615,3.536162963914927,3.5603578361373316,4.960129197126465,3.9993457346596424,3.2660394774951187,3.885970115314092,2.3843868638665806,3.154403057001612,4.120989679857894,3.4081935753821417,4.011820660013772,3.608880921235388,3.4818388826062887,3.7983755864240227,3.797111038715991,3.9845606929475776,3.3300253929401404,3.9905567652953646,3.4569007403910446,3.1095393722769566,2.724779589463989,3.3573253575169084,3.039206549461101,4.571521132848435
2,4.970703821663863,4.967999056918869,4.445283074889689,3.9039781819835677,4.83097411634436,4.706790757939106,3.394334293204774,4.698856219296055,4.531654384168342,4.837393093154073,3.963359815959596,4.065634486661987,4.777246362159635,4.01292650060978,3.9984035245226424,4.217681635803433,2.529835617340704,3.543044662837132,4.199521767272452,4.398711097184307,4.993961915384645,4.573856981858166,3.8222358239244607,4.732130647396223,4.314180440910999,4.494317541035983,4.4146992191316246,4.16343730217131,3.462383841694601,4.388281764398943,2.994337048481078,4.347021254890649,4.013775112334089,3.999460695654655
3,4.01720603452639,3.985681852786704,4.955707873454736,4.088340844103102,4.5285502022515765,4.271125385263165,2.8187166435180795,4.337728797319263,4.491330226078471,4.36769213586221,3.7240786662817293,3.532420992811229,4.964889577119786,4.1967956431401685,3.4433020526785243,3.6206891906897245,2.7553428999352003,3.4215843081299093,4.217721777663486,3.50334441894575,4.440097875890362,3.0108962250468183,3.016015662658177,3.8629679800791017,4.080772674334638,4.31691012002089,3.879118172275036,4.4747339923214495,3.2055067374491877,3.238744007898661,2.234944319379166,2.592209956396931,3.4450514879419694,4.600455851206026
4,4.991057068700969,4.987251717160046,4.928817223917711,4.9619513631369125,5.010548663464901,4.961678431597559,3.945551146737672,5.075941003492359,4.951679381404851,5.017146484356863,4.511388079462063,3.821949806565728,5.000320888215073,4.204419650824215,3.582734504246786,4.371347138414887,3.128170926466903,3.5421115850551828,4.341030198209507,3.9826915934134415,4.722634067067116,4.591687039672875,3.598191733985725,4.979604983833188,4.062906638094885,4.741858774830005,4.503024428587521,4.906602840638503,3.116335785877437,3.411861478034588,2.0091039115353,4.2236178699208455,4.171710113569647,4.6443980222614485
5,4.980615047688809,4.240499281010278,5.461095116010355,4.374123061752004,5.161973674511782,4.555756676292461,3.14842211826529,4.638411882402229,4.982004566246758,4.9185206904818255,4.143275686744028,4.105968425483058,4.972619881224155,4.6758157071366675,3.2956621995970883,4.269272469938822,3.0244238093380194,3.437436858132678,4.969737458490459,3.3909336977348974,3.995079332191261,3.4895340761203437,3.1090151347747605,4.431015329374353,4.507142080830589,4.723317156995869,3.7372220733960027,5.072518008121648,3.0172273086655497,3.609498907535665,2.9963267991437377,2.031854341598956,4.980748843998406,4.987358360929991
6,4.970674163327731,4.96454082572288,4.167959286202782,3.87688910125455,4.507100532293965,4.541674175429492,3.5561598332932802,4.707654898267681,4.286624793530039,4.6236484186457245,3.884569691020884,3.787349039286745,4.322462914721562,3.6315600584746206,3.9074537333592767,4.099704978600533,2.5456401081698874,3.0855381590770405,3.735342187880441,4.184414102952536,4.888459393089437,4.815010217871436,3.906652678016035,4.847765926001035,4.0165301523886585,4.217993255937721,4.734168891957537,3.837256003739021,3.4751712911602226,3.810411072963011,2.010723644807024,4.979255792695949,4.001685184348039,3.0166588683867026
7,4.9788805052269565,4.1842934791731405,4.220260313024536,2.0411274937335935,4.145391695232488,4.238051305461752,2.8272253045024986,4.040997365506414,4.001041995145395,4.115096949255194,3.3291784243338114,4.967686832899927,4.988584184976693,4.912728612005431,4.03954725290564,4.9834378034866385,2.115261859217147,2.940198719508659,4.26144956063721,4.525674104407224,4.619744803547167,4.99593237590491,4.981586575350588,4.693490393109683,4.547061590264789,3.9879711879138786,3.7975456900318885,3.6674892129813093,5.166884941805107,4.448464395318606,4.2794217943755735,4.518580374264862,4.5786444809632165,4.002955300259608
8,4.033187516539265,4.610456635504357,4.988304856861294,4.093002129970432,4.812379586839819,4.380157452489322,3.455455120440795,4.456621146610097,4.892525846936135,5.002099098186204,4.260602006489707,4.029749843702803,4.413817568792357,4.984753853386667,3.4823188013465605,4.047781115799491,3.3005772073178647,4.0554514941680075,3.6623928911952506,3.9377144621438434,5.037619255007319,3.6351892373479817,3.001193479122195,4.480680013380225,4.267603174472347,4.6974871490101435,4.96126645865923,4.964625572212557,3.400783885466552,3.4727376586655607,2.0988901701419147,3.1536487656585646,3.7947831140207047,4.454412438594937
9,4.985826456039048,4.639680784059156,4.999131992461287,4.143175645976189,4.872630319967069,4.6681313453342765,3.408202082222277,4.7965684248292435,4.768944191760818,4.763615482875597,4.352510973894725,4.289222716161609,4.9990366048076105,4.867287394734887,3.3624045814733394,4.9777849014107325,2.9741895936654874,3.4518121985277777,4.363252630276038,3.587655480712284,4.5957239479910665,4.565767912180898,3.972375869696609,4.754096745413378,4.421008995626244,4.743376162738747,4.053815420076696,4.974986995063359,3.998288178127944,3.4455418964224096,2.6118787661807277,3.733811416937314,4.461579078638601,4.889921204027438
10,4.009651162595006,3.9854545411192017,4.000615977430809,2.524994905428921,3.9248276258229886,4.251564874796151,2.778402142963899,4.018348442571279,4.007907972928164,3.903479212750956,2.511353811009009,4.011690576452647,4.990433961978172,3.019597339216003,4.950769545889972,3.5489775539912674,2.9541515650290413,2.7972543516377963,4.52420919386475,5.09021550736129,3.9787898971829225,4.001592069129421,4.960494162473566,4.0370222947136165,3.644965330742423,3.572182028203493,3.898196035575616,3.2065549305750496,4.997880844337177,5.332583364499726,2.9678355456762997,4.662801611659006,3.298422741553253,4.023555367019719
